date,Date_obj,Month,Day,Year,emp_status,job_title,overall_rating,career_growth_rating,wlb_rating,compensation_rating,company_culture_rating,management_rating,title
"May 28, 2023",2023-05-28,5,28,2023,Current Employee ,Staff Software Developer,4,4,3,3,3,3,It depends from team to team but with this GenAI many teams have lost the balance
"May 27, 2023",2023-05-27,5,27,2023,Current Employee ,Program Manager II,3,2,3,3,3,2,Meh
"May 26, 2023",2023-05-26,5,26,2023,Current Employee ,Data Scientist,3,3,5,3,5,3,promos are hard. pay is far from the best. great culture and work life balance though
"May 25, 2023",2023-05-25,5,25,2023,Current Employee ,Software Engineer II,5,5,5,4,5,5,Great company to work
"May 24, 2023",2023-05-24,5,24,2023,Former Employee ,Senior Software Engineer,2,2,2,4,2,1,Poor management good pay
"May 24, 2023",2023-05-24,5,24,2023,Current Employee ,Senior Software Developer,4,3,3,4,4,3,Pay is good WLB is not so good
"May 23, 2023",2023-05-23,5,23,2023,Current Employee ,Senior Product Manager,4,3,3,4,5,3,"Great WLB, Good company."
"May 21, 2023",2023-05-21,5,21,2023,Current Employee ,Staff Software Engineer,3,3,3,3,3,3,Avg work environment
"May 20, 2023",2023-05-20,5,20,2023,Current Employee ,UX/UI Designer,4,4,4,4,4,3,Great work life balance
"May 4, 2023",2023-05-04,5,4,2023,Current Employee ,Software Engineer II,3,4,2,4,3,2,OK company to work for
"May 3, 2023",2023-05-03,5,3,2023,Current Employee ,Software Engineer I,5,4,5,3,5,5,Good but can be better
"Apr 30, 2023",2023-04-30,4,30,2023,Current Employee ,Design Director,5,3,5,4,5,3,Great work life balance
"Apr 24, 2023",2023-04-24,4,24,2023,Current Employee ,Strategy & Business Development,4,4,4,5,2,1,The management is very poor
"Apr 23, 2023",2023-04-23,4,23,2023,Current Employee ,Software Engineer,1,1,1,2,1,1,Poor work life balance and micromanagement
"Apr 20, 2023",2023-04-20,4,20,2023,Current Employee ,Engineer,5,4,5,3,5,4,Great place to work
"Apr 19, 2023",2023-04-19,4,19,2023,Current Employee ,Product Manager,5,5,5,4,5,4,Great products and culture
"Apr 15, 2023",2023-04-15,4,15,2023,Current Employee ,Principal Software Engineer,5,5,5,5,4,4,Awesome company with great benefits
"Apr 14, 2023",2023-04-14,4,14,2023,Current Employee ,Software Engineer,5,4,5,5,5,4,"Good WLB, interesting things to work on"
"Apr 10, 2023",2023-04-10,4,10,2023,Current Employee ,Software Developer II,5,4,4,4,4,4,Great people to work with
"Apr 9, 2023",2023-04-09,4,9,2023,Current Employee ,Software Engineer II,4,5,5,4,5,5,Great environment to grow
"Apr 8, 2023",2023-04-08,4,8,2023,Current Employee ,Software Developer III,3,2,3,3,2,1,Too much of micromanagement
"Apr 8, 2023",2023-04-08,4,8,2023,Current Employee ,Software Engineer I,4,5,4,5,4,4,Good company
"Apr 6, 2023",2023-04-06,4,6,2023,Current Employee ,"Engineer, Senior",4,3,3,4,4,3,Stable company for a slow yet sustained growth
"Apr 4, 2023",2023-04-04,4,4,2023,Current Employee ,Business Analyst,4,4,1,5,3,1,I have loved working for Intuit but right now it’s terrible.
"Apr 1, 2023",2023-04-01,4,1,2023,Current Employee ,Senior Market Manager,1,2,2,5,2,1,Worst leadership culture across the board
"Mar 31, 2023",2023-03-31,3,31,2023,Current Employee ,Engineer,5,5,5,1,5,5,Everything great but the money
"Mar 31, 2023",2023-03-31,3,31,2023,Current Employee ,Senior Software Developer,3,4,2,5,2,2,Politics
